Team,Position,Name,Minutes_played,Games_played,Yellow_Cards,Red_Cards,Goals_scored,Penalties_scored,Own_goals,Tackles,Shots,Assists,Passes,Goals_per_Match,Cards_per_Match,Passing_Efficiency,Set
Levante UD,Midfielder,Doukouré C.,313.0,9,1,0,0,0,0,2,1,0,109.0,0.0,0.1111111111111111,0.34824281150159747,Train
CD Leganés,Forward,Braithwaite,1.4069999999999998,19,5,0,4,0,0,0,26,5,241.0,0.21052631578947367,0.2631578947368421,171.28642501776832,Train
RC Celta,Midfielder,Emre Mor,366.0,10,1,0,0,0,0,0,6,0,83.0,0.0,0.1,0.226775956284153,Train
RC Celta,Midfielder,Jensen,235.0,6,0,0,0,0,0,0,3,0,78.0,0.0,0.0,0.33191489361702126,Train
Levante UD,Forward,Moses,779.0,19,1,0,1,0,0,1,10,1,213.0,0.05263157894736842,0.05263157894736842,0.2734274711168164,Train
Real Betis,Midfielder,Paul Akouokou,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
SD Eibar,Midfielder,Orellana,2.738,33,4,0,3,1,0,0,63,5,1.164,0.09090909090909091,0.12121212121212122,0.42512783053323594,Train
Girona FC,Midfielder,Granell,2.392,32,5,0,0,0,0,5,33,4,1.306,0.0,0.15625,0.5459866220735786,Train
Athletic Club,Midfielder,De Marcos,2.426,30,4,2,1,0,0,4,7,2,1.028,0.03333333333333333,0.2,0.4237427864798021,Train
R. Valladolid CF,Midfielder,Waldo,493.0,8,1,0,1,0,0,0,11,0,130.0,0.125,0.125,0.26369168356997974,Train
Villarreal CF,Defender,Miguelón,543.0,8,1,0,0,0,0,2,2,0,163.0,0.0,0.125,0.3001841620626151,Train
Sevilla FC,Goalkeeper,Juan Soriano,359.0,4,0,1,0,0,0,0,0,0,119.0,0.0,0.25,0.33147632311977715,Train
Girona FC,Defender,Planas,418.0,7,3,0,0,0,0,0,1,1,184.0,0.0,0.42857142857142855,0.44019138755980863,Train
Athletic Club,Midfielder,Susaeta,1.38,22,2,1,1,0,0,1,11,2,524.0,0.045454545454545456,0.13636363636363635,379.71014492753625,Train
Real Betis,Defender,Bartra,2.93,33,4,0,1,0,0,21,6,0,2.266,0.030303030303030304,0.12121212121212122,0.7733788395904436,Train
Atlético de Madrid,Defender,J. M. Giménez,1.7719999999999998,21,5,0,0,0,0,14,13,0,718.0,0.0,0.23809523809523808,405.19187358916486,Train
Atlético de Madrid,Forward,Griezmann,3.202,37,5,0,15,3,0,1,86,9,1.388,0.40540540540540543,0.13513513513513514,0.4334790755777639,Train
Girona FC,Forward,Portu,2.833,34,3,0,9,1,0,1,33,2,621.0,0.2647058823529412,0.08823529411764706,219.20225908930462,Train
Atlético de Madrid,Midfielder,Rodrigo,2.742,34,5,0,3,0,0,11,25,1,1.927,0.08823529411764706,0.14705882352941177,0.7027716994894238,Train
D. Alavés,Defender,Vigaray,646.0,8,1,0,0,0,0,1,1,0,154.0,0.0,0.125,0.23839009287925697,Train
Levante UD,Defender,Postigo,1.45,21,4,1,1,0,0,12,3,1,493.0,0.047619047619047616,0.23809523809523808,340.0,Train
Valencia CF,Midfielder,Fran Navarro,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Sociedad,Forward,Oyarzabal,3.159,37,2,0,13,3,1,3,50,2,924.0,0.35135135135135137,0.05405405405405406,292.4976258309592,Train
Villarreal CF,Forward,Toko Ekambi,2.148,34,5,0,10,0,0,0,49,1,501.0,0.29411764705882354,0.14705882352941177,233.24022346368713,Train
Real Sociedad,Midfielder,Merino,2.06,29,8,1,3,0,0,2,20,3,1.089,0.10344827586206896,0.3103448275862069,0.5286407766990291,Train
Real Madrid,Defender,Varane,2.755,32,0,1,2,0,0,9,12,0,1.707,0.0625,0.03125,0.6196007259528131,Train
Rayo Vallecano,Defender,A. Ba,2.111,26,4,2,1,0,0,18,9,0,1.0490000000000002,0.038461538461538464,0.23076923076923078,0.4969208905731881,Train
RCD Espanyol,Midfielder,David López,1.82,21,4,0,0,0,1,12,8,0,1.207,0.0,0.19047619047619047,0.6631868131868132,Train
Sevilla FC,Forward,Munir,1.192,23,2,0,6,0,0,0,27,2,376.0,0.2608695652173913,0.08695652173913043,315.43624161073825,Train
Real Betis,Goalkeeper,Pau López,2.97,33,3,0,0,0,0,0,0,0,1.071,0.0,0.09090909090909091,0.36060606060606054,Train
R. Valladolid CF,Midfielder,Miguel De la Fuente,11.0,2,0,0,0,0,0,0,2,0,6.0,0.0,0.0,0.5454545454545454,Train
Real Sociedad,Defender,Rodrigues,483.0,7,1,0,0,0,0,3,2,0,181.0,0.0,0.14285714285714285,0.3747412008281574,Train
CD Leganés,Defender,Nyom,1.712,23,8,1,1,0,0,2,4,1,491.0,0.043478260869565216,0.391304347826087,286.79906542056074,Train
R. Valladolid CF,Goalkeeper,Yoel,270.0,3,0,0,0,0,0,0,0,0,92.0,0.0,0.0,0.34074074074074073,Train
Getafe CF,Defender,Miguel Ángel Rubio,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Getafe CF,Defender,Cabrera,2.793,32,9,1,2,0,1,16,18,0,960.0,0.0625,0.3125,343.7164339419978,Train
Levante UD,Goalkeeper,Koke,90.0,1,0,0,0,0,0,0,0,0,20.0,0.0,0.0,0.2222222222222222,Train
Getafe CF,Defender,Olivera,1.01,14,4,1,0,0,0,2,3,1,315.0,0.0,0.35714285714285715,311.8811881188119,Train
